Space Type: RealVectorSpaceFCL Type
Space dimension: 2
Planner type:	RRTConnect
Tree: start
q: (-1.5708       0); parent q: NONE
q: (-0.382832  -2.92399); parent q: (-0.569324  -2.85174)
q: ( -2.2333 -4.12561); parent q: (-2.12457 -3.95775)
q: ( -2.2333 -4.12561); parent q: (-2.12457 -3.95775)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-2.12457 -3.95775); parent q: ( -2.2333 -4.12561)
q: (-0.19293 -2.86125); parent q: (-0.382832  -2.92399)
q: (-0.946039 -0.740878); parent q: (-0.793787 -0.870567)
q: (-0.946039 -0.740878); parent q: (-0.793787 -0.870567)
q: ( -1.09829 -0.611188); parent q: (-0.946039 -0.740878)
q: ( -1.09829 -0.611188); parent q: (-0.946039 -0.740878)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-0.946039 -0.740878); parent q: ( -1.09829 -0.611188)
q: (-4.30073 -1.53229); parent q: (-4.10851 -1.47703)
q: (-0.0979836   -3.03727); parent q: (-0.19293 -2.86125)
Tree: goal
q: (1.5708      0); parent q: NONE
q: (   1.37117 -0.0122103); parent q: (1.5708      0)
q: (   1.37117 -0.0122103); parent q: (1.5708      0)
q: (   1.17154 -0.0244205); parent q: (   1.37117 -0.0122103)
q: (   1.17154 -0.0244205); parent q: (   1.37117 -0.0122103)
q: (  0.971916 -0.0366308); parent q: (   1.17154 -0.0244205)
q: (  0.971916 -0.0366308); parent q: (   1.17154 -0.0244205)
q: ( 0.772289 -0.048841); parent q: (  0.971916 -0.0366308)
q: ( 0.772289 -0.048841); parent q: (  0.971916 -0.0366308)
q: (  0.572662 -0.0610513); parent q: ( 0.772289 -0.048841)
q: (  0.572662 -0.0610513); parent q: ( 0.772289 -0.048841)
q: (  0.373035 -0.0732615); parent q: (  0.572662 -0.0610513)
q: (  0.373035 -0.0732615); parent q: (  0.572662 -0.0610513)
q: (0.343709  -0.2711); parent q: (  0.373035 -0.0732615)
q: ( 0.326479 -0.267768); parent q: (  0.373035 -0.0732615)
q: (0.318228 -0.46947); parent q: (0.343709  -0.2711)
q: ( 0.316128 -0.469189); parent q: (0.343709  -0.2711)
q: ( 0.293305 -0.667911); parent q: (0.318228 -0.46947)
q: ( 0.222073 -0.645693); parent q: ( 0.316128 -0.469189)
q: ( 0.194992 -0.842079); parent q: ( 0.293305 -0.667911)
q: ( 0.128017 -0.822196); parent q: ( 0.222073 -0.645693)
q: (0.096678 -1.01625); parent q: ( 0.194992 -0.842079)
q: (0.0339619   -0.9987); parent q: ( 0.128017 -0.822196)
q: (-0.0016357   -1.19041); parent q: (0.096678 -1.01625)
q: (-0.0600935    -1.1752); parent q: (0.0339619   -0.9987)
q: (-0.0999494   -1.36458); parent q: (-0.0016357   -1.19041)
q: (-0.154149  -1.35171); parent q: (-0.0600935    -1.1752)
q: (-0.198263  -1.53875); parent q: (-0.0999494   -1.36458)
q: (-0.248204  -1.52821); parent q: (-0.154149  -1.35171)
q: (-0.296577  -1.71292); parent q: (-0.198263  -1.53875)
q: (-0.34226 -1.70472); parent q: (-0.248204  -1.52821)
q: (-0.39489 -1.88709); parent q: (-0.296577  -1.71292)
q: (-0.436315  -1.88122); parent q: (-0.34226 -1.70472)
q: (-0.493204  -2.06125); parent q: (-0.39489 -1.88709)
q: (-0.530371  -2.05772); parent q: (-0.436315  -1.88122)
q: (-0.591518  -2.23542); parent q: (-0.493204  -2.06125)
q: (-0.624426  -2.23423); parent q: (-0.530371  -2.05772)
q: (-0.689831  -2.40959); parent q: (-0.591518  -2.23542)
q: (-0.737149  -2.39943); parent q: (-0.624426  -2.23423)
q: (-0.63724 -2.60255); parent q: (-0.689831  -2.40959)
q: (-0.63724 -2.60255); parent q: (-0.689831  -2.40959)
q: (-0.584648  -2.79551); parent q: (-0.63724 -2.60255)
q: (-0.584648  -2.79551); parent q: (-0.63724 -2.60255)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.532056  -2.98847); parent q: (-0.584648  -2.79551)
q: (-0.434702  -1.45597); parent q: (-0.248204  -1.52821)
q: (-0.703976  -3.09067); parent q: (-0.532056  -2.98847)
q: (-0.703976  -3.09067); parent q: (-0.532056  -2.98847)
q: (-0.875896  -3.19286); parent q: (-0.703976  -3.09067)
q: (-0.875896  -3.19286); parent q: (-0.703976  -3.09067)
q: (-1.04782 -3.29506); parent q: (-0.875896  -3.19286)
q: (-1.04782 -3.29506); parent q: (-0.875896  -3.19286)
q: (-1.21974 -3.39725); parent q: (-1.04782 -3.29506)
q: (-1.21974 -3.39725); parent q: (-1.04782 -3.29506)
q: (-1.39166 -3.49944); parent q: (-1.21974 -3.39725)
q: (-1.39166 -3.49944); parent q: (-1.21974 -3.39725)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.21974 -3.39725); parent q: (-1.39166 -3.49944)
q: (-1.57375 -3.58216); parent q: (-1.39166 -3.49944)
q: (-1.53433  -3.6396); parent q: (-1.39166 -3.49944)
q: (-1.68187 -3.75041); parent q: (-1.57375 -3.58216)
q: (  -1.677 -3.77976); parent q: (-1.53433  -3.6396)
q: (-1.78999 -3.91867); parent q: (-1.68187 -3.75041)
q: (-1.81967 -3.91992); parent q: (  -1.677 -3.77976)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-1.68187 -3.75041); parent q: (-1.78999 -3.91867)
q: (-0.622937  -1.38839); parent q: (-0.434702  -1.45597)
q: (-0.539276  -1.28549); parent q: (-0.434702  -1.45597)
q: (-0.685602  -1.19846); parent q: (-0.622937  -1.38839)
q: (-0.643849  -1.11501); parent q: (-0.539276  -1.28549)
q: (-0.748268  -1.00853); parent q: (-0.685602  -1.19846)
q: (-0.748423 -0.944523); parent q: (-0.643849  -1.11501)
q: (-0.810933 -0.818601); parent q: (-0.748268  -1.00853)
q: (-0.852996  -0.77404); parent q: (-0.748423 -0.944523)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-0.748268  -1.00853); parent q: (-0.810933 -0.818601)
q: (-2.01957 -3.92631); parent q: (-1.81967 -3.91992)
q: (-0.348464  -2.90914); parent q: (-0.532056  -2.98847)
q: (-0.348464  -2.90914); parent q: (-0.532056  -2.98847)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-0.532056  -2.98847); parent q: (-0.348464  -2.90914)
q: (-2.18083 -4.04461); parent q: (-2.01957 -3.92631)
q: (-0.157321  -2.85028); parent q: (-0.348464  -2.90914)
